player_id,name,club_info.squad_number,birth_year,position,secondary_position,left_foot,right_foot,ability.pace,ability.strength,ability.jump,ability.agility,ability.dribble,ability.pass,ability.shot,ability.tackle,ability.position,ability.goalkeep,club_info.contract,club_info.wage
989,M. Kean,18,2000,CENTRE_FORWARD,LEFT_WINGER,,3,17,11,15,17,13,11,16,8,8,,2,4000000
990,L. Bonucci,19,1987,CENTRE_BACK,RIGHT_BACK,,3,8,15,17,8,11,15,15,17,17,,3,9000000
991,F. Bernardeschi,20,1994,RIGHT_WINGER,LEFT_WINGER,3,,16,13,15,16,15,14,16,9,9,,1,5000000
992,K. Jorge,21,2002,CENTRE_FORWARD,,,3,16,8,14,17,14,14,15,8,8,,5,2000000
993,F. Chiesa,22,1997,RIGHT_WINGER,LEFT_WINGER,1,3,17,11,13,17,15,16,17,12,8,,1,5000000
994,C. Pinsoglio,23,1990,GOAL_KEEPER,,3,,9,13,17,16,,9,,14,,15,2,1000000
995,D. Rugani,24,1994,CENTRE_BACK,,,3,10,15,17,11,10,11,10,16,13,,2,4000000
996,A. Rabiot,25,1995,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,3,,12,12,16,16,15,15,15,15,16,,2,6000000
997,M. Locatelli,27,1998,DEFENSIVE_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,14,11,16,17,14,15,14,15,15,,2,6000000
998,R. Bentancur,30,1997,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,13,13,16,15,15,16,12,15,14,,3,5000000
999,M. Perin,36,1992,GOAL_KEEPER,,,,10,15,16,16,,9,,14,,16,2,3000000
1000,D. Kulusevski,44,2000,CENTRAL_MIDFIEDLER,RIGHT_WINGER,3,,16,12,16,15,14,15,16,8,9,,4,3000000
1801,B. Lecomte,1,1991,GOAL_KEEPER,,3,,11,14,15,17,,9,,14,,15,1,1000000
1802,J. Gimenez,2,1995,CENTRE_BACK,,,3,15,16,17,13,10,11,10,17,17,,4,8000000
1803,G. Kondogbia,4,1993,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,3,,14,16,17,13,10,14,10,16,16,,3,7500000
1804,R. De Paul,5,1994,CENTRAL_MIDFIEDLER,RIGHT_WINGER,,3,15,13,15,17,16,17,15,14,12,,5,7500000
1805,Koke,6,1992,CENTRAL_MIDFIEDLER,LEFT_MIDFIELDER,2,3,15,13,14,17,16,18,15,13,14,,3,8000000
1806,J. Felix,7,1999,LEFT_WINGER,SECOND_STRIKER,3,3,17,9,13,18,16,16,16,8,9,,5,9000000
1807,A. Griezmann,8,1991,CENTRE_FORWARD,LEFT_WINGER,3,1,13,12,13,17,15,15,18,13,10,,1,15000000
1808,L. Suarez,9,1987,CENTRE_FORWARD,RIGHT_WINGER,,3,8,17,15,10,17,16,20,9,10,,1,12000000
1809,A. Correa,10,1995,RIGHT_WINGER,CENTRE_FORWARD,,3,16,12,11,17,15,16,16,10,9,,3,6000000
1810,T. Lemar,11,1995,LEFT_WINGER,ATTACKING_MIDFIELDER,3,,16,8,10,18,16,17,14,12,10,,2,6000000
1811,R. Lodi,12,1998,LEFT_BACK,,3,,16,10,13,17,16,14,12,15,12,,4,3000000
1812,J. Oblak,13,1993,GOAL_KEEPER,,,3,10,14,16,18,,9,,15,,20,2,8000000
1813,M. Lolorente,14,1995,CENTRAL_MIDFIEDLER,SECOND_STRIKER,,3,15,12,16,17,16,16,15,14,16,,6,7000000
1814,S. Savic,15,1991,CENTRE_BACK,RIGHT_BACK,,3,12,15,18,13,12,11,10,17,16,,3,5000000
1815,H. Herrera,16,1990,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,,3,13,14,15,17,16,15,15,14,13,,1,5000000
1816,I. Saponjic,17,1997,CENTRE_FORWARD,,,3,11,16,17,10,11,11,15,12,9,,1,3000000
1817,Felipe,18,1989,CENTRE_BACK,,,3,10,15,18,11,11,12,10,18,15,,1,6000000
1818,M. Cunha,19,1999,CENTRE_FORWARD,LEFT_WINGER,,3,16,12,15,16,14,14,15,10,9,,5,5000000
1819,Y. Carrasco,21,1993,LEFT_WINGER,LEFT_MIDFIELDER,,3,16,13,15,17,16,16,16,9,11,,3,5000000
1820,M. Hermoso,22,1995,CENTRE_BACK,,3,,12,14,17,14,10,12,9,16,15,,3,5000000
1821,K. Trippier,23,1990,RIGHT_BACK,RIGHT_MIDFIELDER,,3,16,13,12,16,14,16,11,15,16,,2,5000000
1822,S. Vrsalijko,24,1992,RIGHT_BACK,,,3,15,14,15,15,14,15,10,15,16,,1,4000000
1823,S. Camello,,2001,CENTRE_FORWARD,,,3,16,8,13,16,14,12,15,8,8,,1,800000
1824,G. Simeone,27,2002,CENTRE_FORWARD,RIGHT_WINGER,2,3,15,12,12,15,13,13,14,8,8,,1,1000000
1825,R. Sanchez,30,2000,RIGHT_BACK,RIGHT_WINGER,,3,16,8,12,16,13,13,12,13,12,,1,1000000
1826,T. Courtois,1,1992,GOAL_KEEPER,,3,,8,18,20,16,,9,,14,,19,5,8000000
1827,D. Carvajal,2,1992,RIGHT_BACK,RIGHT_MIDFIELDER,,3,16,13,12,16,15,17,12,15,17,,4,6000000
1828,E. Militao,3,1998,CENTRE_BACK,RIGHT_BACK,,3,14,14,16,14,13,12,10,16,13,,4,5000000
1829,D. Alaba,4,1992,LEFT_BACK,CENTRE_BACK,3,,15,14,15,16,15,16,14,18,17,,5,12000000
1830,J. Vallejo,5,1997,CENTRE_BACK,RIGHT_BACK,,3,13,14,16,14,12,12,10,15,15,,4,4000000
1831,Nacho,6,1990,CENTRE_BACK,RIGHT_BACK,2,3,14,14,15,15,15,14,13,16,17,,2,6000000
1832,E. Hazard,7,1991,LEFT_WINGER,ATTACKING_MIDFIELDER,2,3,16,13,14,16,19,17,17,8,9,,3,15000000
1833,T. Kroos,8,1990,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,,3,15,15,15,15,14,19,16,12,15,,2,8000000
1834,K. Benzema,9,1987,CENTRE_FORWARD,RIGHT_WINGER,3,3,13,16,16,16,16,16,18,9,11,,2,10000000
1835,L. Modric,10,1985,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,3,3,9,11,11,15,16,19,16,9,12,,1,9000000
1836,M. Asensio,11,1996,LEFT_WINGER,RIGHT_WINGER,3,,16,13,15,16,15,16,17,9,8,,2,6000000
1837,Marcelo,12,1988,LEFT_BACK,LEFT_MIDFIELDER,3,,15,14,11,16,17,17,15,13,14,,1,8000000
1838,A. Lunin,13,1999,GOAL_KEEPER,,,,11,15,17,17,,9,,14,,15,3,1500000
1839,Casemiro,14,1992,DEFENSIVE_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,14,17,16,15,13,14,13,19,18,,4,8000000
1840,F. Valverde,15,1998,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,,3,16,14,15,17,15,16,15,14,16,,6,6000000
1841,L. Jovic,16,1997,CENTRE_FORWARD,LEFT_WINGER,3,3,16,15,15,14,14,13,17,9,8,,4,6000000
1842,L. Vazquez,17,1991,RIGHT_WINGER,RIGHT_MIDFIELDER,,3,16,13,13,17,15,16,16,13,14,,3,5000000
1843,G. Bale,18,1989,RIGHT_WINGER,LEFT_WINGER,3,,15,14,16,15,16,17,17,11,10,,1,25000000
1844,D. Ceballos,19,1996,CENTRAL_MIDFIEDLER,LEFT_MIDFIELDER,,3,15,8,13,17,16,16,15,10,14,,2,5000000
1845,Vinicius Jr.,20,2000,LEFT_WINGER,RIGHT_WINGER,1,3,18,9,12,17,16,14,14,8,8,,4,6000000
1846,Rodrygo,21,2001,LEFT_WINGER,RIGHT_WINGER,1,3,17,8,11,17,14,15,16,7,8,,4,4000000
1847,Isco,22,1992,ATTACKING_MIDFIELDER,CENTRAL_MIDFIEDLER,,3,13,11,13,16,17,16,15,8,12,,1,5000000
1848,F. Mendy,23,1995,LEFT_BACK,LEFT_MIDFIELDER,3,,17,13,15,16,14,15,11,16,15,,4,5000000
1849,Mariano,24,1993,CENTRE_FORWARD,,,3,16,15,15,16,13,13,16,9,9,,2,6000000
1850,E. Camavinga,25,2002,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,3,,16,11,14,16,14,15,15,14,15,,6,6000000
1851,M. ter Stegen,1,1992,GOAL_KEEPER,,,3,12,15,16,18,,11,,15,,18,4,7000000
1852,S. Dest,2,2000,RIGHT_BACK,LEFT_BACK,,3,16,9,11,17,14,15,14,13,12,,4,4000000
1853,G. Pique,3,1987,CENTRE_BACK,DEFENSIVE_MIDFIELDER,,3,8,16,18,9,13,16,14,17,16,,3,8000000
1854,R. Araujo,4,1999,CENTRE_BACK,,,3,13,15,17,14,12,14,12,16,14,,2,2500000
1855,S. Busquets,5,1988,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,9,15,17,11,14,18,10,15,17,,2,7500000
1856,R. Puig,6,1999,CENTRAL_MIDFIEDLER,ATTACKING_MIDFIELDER,,3,14,7,8,17,15,17,14,7,9,,2,3000000
1857,O. Dembele,7,1997,RIGHT_WINGER,LEFT_WINGER,3,3,18,11,13,16,16,15,16,7,7,,1,10000000
1858,M. Depay,9,1994,LEFT_WINGER,CENTRE_FORWARD,,3,16,16,15,15,16,15,17,9,8,,2,5000000
1859,A. Fati,10,2002,LEFT_WINGER,CENTRE_FORWARD,1,3,16,7,13,17,15,15,17,7,8,,1,1000000
1860,Y. Demir,11,2003,ATTACKING_MIDFIELDER,RIGHT_WINGER,3,2,16,12,11,16,16,14,15,8,7,,1,1500000
1861,M. Braithwaite,12,1991,CENTRE_FORWARD,LEFT_WINGER,,3,16,15,15,15,15,12,15,12,9,,3,3000000
1862,Neto,13,1989,GOAL_KEEPER,,,3,9,15,17,17,,10,,14,,17,2,2500000
1863,P. Coutinho,14,1992,ATTACKING_MIDFIELDER,LEFT_WINGER,,3,15,10,10,16,16,16,17,8,9,,2,10000000
1864,C. Lenglet,15,1995,CENTRE_BACK,,3,,11,16,16,14,10,13,9,16,12,,5,4000000
1865,Pedri,16,2002,CENTRAL_MIDFIEDLER,LEFT_WINGER,1,3,16,9,11,18,16,16,14,9,11,,1,1200000
1866,L. de Jong,17,1990,CENTRE_FORWARD,SECOND_STRIKER,,3,10,16,17,9,12,14,16,10,9,,1,3000000
1867,J. Alba,18,1989,LEFT_BACK,LEFT_WINGER,3,,17,9,9,17,16,17,14,14,16,,3,6000000
1868,S. Aguero,19,1988,CENTRE_FORWARD,SECOND_STRIKER,2,3,15,14,13,15,17,16,19,10,8,,2,5000000
1869,S. Roberto,20,1992,CENTRAL_MIDFIEDLER,RIGHT_BACK,,3,12,11,14,17,15,15,15,13,14,,1,6000000
1870,F. de Jong,21,1997,CENTRAL_MIDFIEDLER,DEFENSIVE_MIDFIELDER,,3,16,14,15,17,16,17,15,15,16,,5,8000000
1871,O. Mingueza,22,1999,CENTRE_BACK,RIGHT_BACK,,3,14,15,16,15,12,13,9,15,15,,2,2000000
1872,S. Umtiti,23,1993,CENTRE_BACK,LEFT_BACK,3,,10,16,16,9,11,12,9,17,15,,2,7000000
1873,E. Garcia,24,2001,CENTRE_BACK,RIGHT_BACK,,3,13,14,15,15,11,14,10,16,15,,5,4000000
1874,Gavi,30,2004,CENTRAL_MIDFIEDLER,,,3,16,9,10,16,15,14,12,13,15,,3,500000
1875,A. Balde,31,2003,LEFT_BACK,,3,,16,10,10,16,14,13,9,13,14,,3,500000
